VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,Welcome0ContKey.keys,Welcome0ContKey.rt,key_resp.keys,key_resp.rt,WelcomeSound2ContKey.keys,WelcomeSound2ContKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,PracticeSoundKey.keys,PracticeSoundKey.corr,PracticeSoundKey.rt,SoundPracticeLoop.thisRepN,SoundPracticeLoop.thisTrialN,SoundPracticeLoop.thisN,SoundPracticeLoop.thisIndex,SoundPracticeLoop.ran,SoundFile,SoundMST_File,GS_File,SoundCorrect,Correct2,SoundType,,Trial,MSTSoundStrtKey.keys,MSTSoundStrtKey.rt,MSTSoundKey.keys,MSTSoundKey.corr,MSTSoundKey.rt,MSTSoundLoop.thisRepN,MSTSoundLoop.thisTrialN,MSTSoundLoop.thisN,MSTSoundLoop.thisIndex,MSTSoundLoop.ran,AttnCheck2Keys.keys,AttnCheck2Keys.rt,AttnCheck2Resp.text,SoundTask.thisRepN,SoundTask.thisTrialN,SoundTask.thisN,SoundTask.thisIndex,SoundTask.ran,Counterbalance.thisRepN,Counterbalance.thisTrialN,Counterbalance.thisN,Counterbalance.thisIndex,Counterbalance.ran,WordOrder,SoundOrder,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,Attn1ContKey.keys,Attn1ContKey.rt,AttnCheckResp.text,SyllblCheckContKey.keys,SyllblCheckContKey.rt,SyllblCheckResp.keys,SyllblCheckResp.corr,SyllblCheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Target,Word1,Word2,Word3,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,key_resp_4.keys,key_resp_4.rt,GuessSoundIntro2Cont.keys,GuessSoundIntro2Cont.rt,GSSubmit.keys,GSSubmit.rt,GSResponse.text,GuessSoundLoop.thisRepN,GuessSoundLoop.thisTrialN,GuessSoundLoop.thisN,GuessSoundLoop.thisIndex,GuessSoundLoop.ran,ExitKey.keys,ExitKey.rt
space,7.13608,space,6.95541,2,1,17.04456,0,0,0,3,1,Headphone/t2_2.wav,2, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,1.300945,0,1,1,5,1,Headphone/t3_2.wav,3, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,0.96846,0,2,2,2,1,Headphone/t2_1.wav,2, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,1.064215,0,3,3,1,1,Headphone/t1_2.wav,1, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,0.96607,0,4,4,4,1,Headphone/t3_1.wav,3, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,1.18843,0,5,5,0,1,Headphone/t1_1.wav,1, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,space,7.67785,space,16.078735,space,6.059755,space,4.410435,2,1,3.53499,0,0,0,0,1,,Practice/Seagull_A.wav,,2,3,NEW,,Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,2,1,1.01973,0,1,1,1,1,,Practice/Skid_B.wav,,2,3,NEW,,Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,1,1,0.630405,0,2,2,2,1,,Practice/Seagull_A.wav,,1,1,OLD,,Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 5d331b4c9ce6590019010930,2021-03-24_08h08.31.283,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,2,1,0.621595,0,3,3,3,1,,Practice/Gargle_A.wav,,2,3,NEW,,Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
